SCAPS 3.3.12 ELIS-UGent: Version scaps3312.exe, dated 00-00-   0, 00:00:00
Simulation of I-V curves
Single shot simulation #	9
Calculation started : 	12-8-2026 at 15:45:06

problem definition file :	c:\Users\orden\Desktop\scaps\def\CELL1.def
last saved: 	09-07-2026 at 20:17:00

Calculation under illumination
Optical generation from internal SCAPS calculation
Illumination spectrum read from file
spectrum file :	
C:\Users\orden\Desktop\scaps\spectrum\AM1_5G 1 sun.spe  last saved: 	22-05-2009 at 15:59:48
Neutral density filter: ND	  0.0458
Transmission of ND filter:	  9.0000e-01
Power from spectrum:	  100.0000	mW/cm2
Incident power on solar cell structure	   90.0000	mW/cm2

Working point conditions
Temperature	  300.00	K
Workpoint bias voltage	    0.0000	Volt
Frequency	  1.0000e+06	Hz

Voltage reference convention: voltage referred to right contact, voltage V applied to left contact
Current reference convention: current positive when entering the left contact
Power generated by the cell: = -V*I; power consumed by the cell = +V*I

    v(V)	jtot(mA/cm2)	j_total_rec(mA/cm2)	j_total_gen(mA/cm2)	   jbulk(mA/cm2)	jifr(mA/cm2)	jminor_left(mA/cm2)	jminor_right(mA/cm2)	j_SRH(mA/cm2)	j_Radiative(mA/cm2)	j_Auger(mA/cm2)
   0.325000	   -2.97827891e+01	        5.20386087e+00	    3.50942307e+01	    4.01519820e-02	    0.00000000e+00	    4.85899314e+00	    3.04715752e-01	    4.01519820e-02	    0.00000000e+00	    0.00000000e+00
   0.330000	   -2.97816051e+01	        5.20404407e+00	    3.50942307e+01	    4.01731948e-02	    0.00000000e+00	    4.85903063e+00	    3.04840243e-01	    4.01731948e-02	    0.00000000e+00	    0.00000000e+00
   0.335000	   -2.97804031e+01	        5.20424763e+00	    3.50942307e+01	    4.01960805e-02	    0.00000000e+00	    4.85907711e+00	    3.04974435e-01	    4.01960805e-02	    0.00000000e+00	    0.00000000e+00
   0.340000	   -2.97791794e+01	        5.20447113e+00	    3.50942307e+01	    4.02209635e-02	    0.00000000e+00	    4.85912994e+00	    3.05120234e-01	    4.02209635e-02	    0.00000000e+00	    0.00000000e+00
   0.345000	   -2.97779280e+01	        5.20472218e+00	    3.50942307e+01	    4.02482357e-02	    0.00000000e+00	    4.85919401e+00	    3.05279931e-01	    4.02482357e-02	    0.00000000e+00	    0.00000000e+00
   0.350000	   -2.97766449e+01	        5.20500469e+00	    3.50942307e+01	    4.02783710e-02	    0.00000000e+00	    4.85926997e+00	    3.05456353e-01	    4.02783710e-02	    0.00000000e+00	    0.00000000e+00
   0.355000	   -2.97753227e+01	        5.20532593e+00	    3.50942307e+01	    4.03119427e-02	    0.00000000e+00	    4.85936113e+00	    3.05652859e-01	    4.03119427e-02	    0.00000000e+00	    0.00000000e+00
   0.360000	   -2.97739546e+01	        5.20569503e+00	    3.50942307e+01	    4.03496443e-02	    0.00000000e+00	    4.85947183e+00	    3.05873558e-01	    4.03496443e-02	    0.00000000e+00	    0.00000000e+00
   0.365000	   -2.97725295e+01	        5.20612005e+00	    3.50942307e+01	    4.03923147e-02	    0.00000000e+00	    4.85960431e+00	    3.06123426e-01	    4.03923147e-02	    0.00000000e+00	    0.00000000e+00
   0.370000	   -2.97710352e+01	        5.20661375e+00	    3.50942307e+01	    4.04409697e-02	    0.00000000e+00	    4.85976431e+00	    3.06408469e-01	    4.04409697e-02	    0.00000000e+00	    0.00000000e+00
   0.375000	   -2.97694599e+01	        5.20719027e+00	    3.50942307e+01	    4.04968384e-02	    0.00000000e+00	    4.85995744e+00	    3.06735989e-01	    4.04968384e-02	    0.00000000e+00	    0.00000000e+00
   0.380000	   -2.97677836e+01	        5.20786604e+00	    3.50942307e+01	    4.05614094e-02	    0.00000000e+00	    4.86018980e+00	    3.07114837e-01	    4.05614094e-02	    0.00000000e+00	    0.00000000e+00
   0.385000	   -2.97659867e+01	        5.20866248e+00	    3.50942307e+01	    4.06364844e-02	    0.00000000e+00	    4.86047026e+00	    3.07555729e-01	    4.06364844e-02	    0.00000000e+00	    0.00000000e+00
   0.390000	   -2.97640430e+01	        5.20960719e+00	    3.50942307e+01	    4.07242457e-02	    0.00000000e+00	    4.86081128e+00	    3.08071656e-01	    4.07242457e-02	    0.00000000e+00	    0.00000000e+00
   0.395000	   -2.97619219e+01	        5.21072757e+00	    3.50942307e+01	    4.08273355e-02	    0.00000000e+00	    4.86122186e+00	    3.08678381e-01	    4.08273355e-02	    0.00000000e+00	    0.00000000e+00
   0.400000	   -2.97595856e+01	        5.21206338e+00	    3.50942307e+01	    4.09489535e-02	    0.00000000e+00	    4.86171943e+00	    3.09395001e-01	    4.09489535e-02	    0.00000000e+00	    0.00000000e+00
   0.405000	   -2.97569901e+01	        5.21365972e+00	    3.50942307e+01	    4.10929744e-02	    0.00000000e+00	    4.86232207e+00	    3.10244676e-01	    4.10929744e-02	    0.00000000e+00	    0.00000000e+00
   0.410000	   -2.97540786e+01	        5.21557092e+00	    3.50942307e+01	    4.12640900e-02	    0.00000000e+00	    4.86305134e+00	    3.11255489e-01	    4.12640900e-02	    0.00000000e+00	    0.00000000e+00
   0.415000	   -2.97507848e+01	        5.21786468e+00	    3.50942307e+01	    4.14679813e-02	    0.00000000e+00	    4.86393522e+00	    3.12461484e-01	    4.14679813e-02	    0.00000000e+00	    0.00000000e+00
   0.420000	   -2.97470282e+01	        5.22062152e+00	    3.50942307e+01	    4.17115257e-02	    0.00000000e+00	    4.86500605e+00	    3.13903949e-01	    4.17115257e-02	    0.00000000e+00	    0.00000000e+00
   0.425000	   -2.97427344e+01	        5.22393477e+00	    3.50942307e+01	    4.20028918e-02	    0.00000000e+00	    4.86630331e+00	    3.15628566e-01	    4.20028918e-02	    0.00000000e+00	    0.00000000e+00
