
SCAPS 3.3.12 ELIS-UGent: Version scaps3312.exe, dated 00-00-   0, 00:00:00
Simulation of I-V curves
Single shot simulation #	8
Calculation started : 	12-8-2026 at 15:43:09

problem definition file :	c:\Users\orden\Desktop\scaps\def\CELL1.def
last saved: 	09-07-2026 at 20:17:00

Calculation under illumination
Optical generation from internal SCAPS calculation
Illumination spectrum read from file
spectrum file :	
C:\Users\orden\Desktop\scaps\spectrum\AM1_5G 1 sun.spe  last saved: 	22-05-2009 at 15:59:48
Neutral density filter: ND	  0.0458
Transmission of ND filter:	  9.0000e-01
Power from spectrum:	  100.0000	mW/cm2
Incident power on solar cell structure	   90.0000	mW/cm2

Working point conditions
Temperature	  300.00	K
Workpoint bias voltage	    0.0000	Volt
Frequency	  1.0000e+06	Hz

Voltage reference convention: voltage referred to right contact, voltage V applied to left contact
Current reference convention: current positive when entering the left contact
Power generated by the cell: = -V*I; power consumed by the cell = +V*I

    v(V)	jtot(mA/cm2)	j_total_rec(mA/cm2)	j_total_gen(mA/cm2)	   jbulk(mA/cm2)	jifr(mA/cm2)	jminor_left(mA/cm2)	jminor_right(mA/cm2)	j_SRH(mA/cm2)	j_Radiative(mA/cm2)	j_Auger(mA/cm2)
   0.340000	   -2.86103441e+01	        6.37330539e+00	    3.50942307e+01	    2.83089847e-02	    0.00000000e+00	    4.85912936e+00	    1.48586705e+00	    2.83089847e-02	    0.00000000e+00	    0.00000000e+00
   0.345000	   -2.86085087e+01	        6.37414154e+00	    3.50942307e+01	    2.83297876e-02	    0.00000000e+00	    4.85919400e+00	    1.48661774e+00	    2.83297876e-02	    0.00000000e+00	    0.00000000e+00
   0.350000	   -2.86065777e+01	        6.37507222e+00	    3.50942307e+01	    2.83528317e-02	    0.00000000e+00	    4.85927039e+00	    1.48744900e+00	    2.83528317e-02	    0.00000000e+00	    0.00000000e+00
   0.355000	   -2.86045319e+01	        6.37611791e+00	    3.50942307e+01	    2.83785651e-02	    0.00000000e+00	    4.85936218e+00	    1.48837716e+00	    2.83785651e-02	    0.00000000e+00	    0.00000000e+00
   0.360000	   -2.86023476e+01	        6.37730227e+00	    3.50942307e+01	    2.84075299e-02	    0.00000000e+00	    4.85947270e+00	    1.48942204e+00	    2.84075299e-02	    0.00000000e+00	    0.00000000e+00
   0.365000	   -2.85999968e+01	        6.37865306e+00	    3.50942307e+01	    2.84403821e-02	    0.00000000e+00	    4.85960502e+00	    1.49060766e+00	    2.84403821e-02	    0.00000000e+00	    0.00000000e+00
   0.370000	   -2.85974441e+01	        6.38020582e+00	    3.50942307e+01	    2.84779149e-02	    0.00000000e+00	    4.85976481e+00	    1.49196310e+00	    2.84779149e-02	    0.00000000e+00	    0.00000000e+00
   0.375000	   -2.85946477e+01	        6.38200167e+00	    3.50942307e+01	    2.85210889e-02	    0.00000000e+00	    4.85995696e+00	    1.49352362e+00	    2.85210889e-02	    0.00000000e+00	    0.00000000e+00
   0.380000	   -2.85915567e+01	        6.38409335e+00	    3.50942307e+01	    2.85710663e-02	    0.00000000e+00	    4.86019032e+00	    1.49533196e+00	    2.85710663e-02	    0.00000000e+00	    0.00000000e+00
   0.385000	   -2.85881090e+01	        6.38654071e+00	    3.50942307e+01	    2.86292544e-02	    0.00000000e+00	    4.86047153e+00	    1.49743992e+00	    2.86292544e-02	    0.00000000e+00	    0.00000000e+00
   0.390000	   -2.85842306e+01	        6.38941933e+00	    3.50942307e+01	    2.86973565e-02	    0.00000000e+00	    4.86081170e+00	    1.49991027e+00	    2.86973565e-02	    0.00000000e+00	    0.00000000e+00
   0.395000	   -2.85798304e+01	        6.39281905e+00	    3.50942307e+01	    2.87774353e-02	    0.00000000e+00	    4.86122247e+00	    1.50281915e+00	    2.87774353e-02	    0.00000000e+00	    0.00000000e+00
   0.400000	   -2.85747980e+01	        6.39685135e+00	    3.50942307e+01	    2.88719883e-02	    0.00000000e+00	    4.86172054e+00	    1.50625882e+00	    2.88719883e-02	    0.00000000e+00	    0.00000000e+00
   0.405000	   -2.85690015e+01	        6.40164914e+00	    3.50942307e+01	    2.89840391e-02	    0.00000000e+00	    4.86232395e+00	    1.51034115e+00	    2.89840391e-02	    0.00000000e+00	    0.00000000e+00
   0.410000	   -2.85622775e+01	        6.40737099e+00	    3.50942307e+01	    2.91172492e-02	    0.00000000e+00	    4.86305198e+00	    1.51520176e+00	    2.91172492e-02	    0.00000000e+00	    0.00000000e+00
   0.415000	   -2.85544315e+01	        6.41421905e+00	    3.50942307e+01	    2.92760513e-02	    0.00000000e+00	    4.86393795e+00	    1.52100505e+00	    2.92760513e-02	    0.00000000e+00	    0.00000000e+00
   0.420000	   -2.85452252e+01	        6.42242452e+00	    3.50942307e+01	    2.94658118e-02	    0.00000000e+00	    4.86500835e+00	    1.52795035e+00	    2.94658118e-02	    0.00000000e+00	    0.00000000e+00
   0.425000	   -2.85344139e+01	        6.43227788e+00	    3.50942307e+01	    2.96930129e-02	    0.00000000e+00	    4.86630640e+00	    1.53627847e+00	    2.96930129e-02	    0.00000000e+00	    0.00000000e+00
   0.430000	   -2.85215630e+01	        6.44412933e+00	    3.50942307e+01	    2.99655442e-02	    0.00000000e+00	    4.86787977e+00	    1.54628403e+00	    2.99655442e-02	    0.00000000e+00	    0.00000000e+00
   0.435000	   -2.85063014e+01	        6.45840049e+00	    3.50942307e+01	    3.02928896e-02	    0.00000000e+00	    4.86978685e+00	    1.55832075e+00	    3.02928896e-02	    0.00000000e+00	    0.00000000e+00
   0.440000	   -2.84881564e+01	        6.47560470e+00	    3.50942307e+01	    3.06865640e-02	    0.00000000e+00	    4.87209882e+00	    1.57281932e+00	    3.06865640e-02	    0.00000000e+00	    0.00000000e+00
   0.445000	   -2.84663971e+01	        6.49636340e+00	    3.50942307e+01	    3.11604908e-02	    0.00000000e+00	    4.87490092e+00	    1.59030199e+00	    3.11604908e-02	    0.00000000e+00	    0.00000000e+00
   0.450000	   -2.84403303e+01	        6.52143146e+00	    3.50942307e+01	    3.17314618e-02	    0.00000000e+00	    4.87829982e+00	    1.61140018e+00	    3.17314618e-02	    0.00000000e+00	    0.00000000e+00
   0.455000	   -2.84090425e+01	        6.55171807e+00	    3.50942307e+01	    3.24197725e-02	    0.00000000e+00	    4.88241869e+00	    1.63687961e+00	    3.24197725e-02	    0.00000000e+00	    0.00000000e+00
   0.460000	   -2.83714395e+01	        6.58833219e+00	    3.50942307e+01	    3.32499007e-02	    0.00000000e+00	    4.88741489e+00	    1.66766740e+00	    3.32499007e-02	    0.00000000e+00	    0.00000000e+00
   0.465000	   -2.83262285e+01	        6.63261085e+00	    3.50942307e+01	    3.42513695e-02	    0.00000000e+00	    4.89347264e+00	    1.70488684e+00	    3.42513695e-02	    0.00000000e+00	    0.00000000e+00
   0.470000	   -2.82716620e+01	        6.68617740e+00	    3.50942307e+01	    3.54597741e-02	    0.00000000e+00	    4.90081805e+00	    1.74989958e+00	    3.54597741e-02	    0.00000000e+00	    0.00000000e+00
   0.475000	   -2.82058459e+01	        6.75099396e+00	    3.50942307e+01	    3.69178332e-02	    0.00000000e+00	    4.90972556e+00	    1.80435057e+00	    3.69178332e-02	    0.00000000e+00	    0.00000000e+00
   0.480000	   -2.81264168e+01	        6.82943319e+00	    3.50942307e+01	    3.86768487e-02	    0.00000000e+00	    4.92052575e+00	    1.87023059e+00	    3.86768487e-02	    0.00000000e+00	    0.00000000e+00
   0.485000	   -2.80304798e+01	        6.92437033e+00	    3.50942307e+01	    4.07983221e-02	    0.00000000e+00	    4.93362359e+00	    1.94994841e+00	    4.07983221e-02	    0.00000000e+00	    0.00000000e+00
   0.490000	   -2.79145765e+01	        7.03927348e+00	    3.50942307e+01	    4.33556941e-02	    0.00000000e+00	    4.94950485e+00	    2.04641293e+00	    4.33556941e-02	    0.00000000e+00	    0.00000000e+00
   0.495000	   -2.77745142e+01	        7.17833585e+00	    3.50942307e+01	    4.64364779e-02	    0.00000000e+00	    4.96876215e+00	    2.16313722e+00	    4.64364779e-02	    0.00000000e+00	    0.00000000e+00
   0.500000	   -2.76052486e+01	        7.34661380e+00	    3.50942307e+01	    5.01445441e-02	    0.00000000e+00	    4.99211037e+00	    2.30435888e+00	    5.01445441e-02	    0.00000000e+00	    0.00000000e+00
